"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2010","1300",""
"Albania","2010","8480",""
"Algeria","2010","7970",""
"Angola","2010","5000",""
"Antigua and Barbuda","2010","18840",""
"Armenia","2010","7510",""
"Australia","2010","37580",""
"Austria","2010","40260",""
"Azerbaijan","2010","9160",""
"Bahamas","2010","28660",""
"Bahrain","2010","18910",""
"Bangladesh","2010","1760",""
"Barbados","2010","24950",""
"Belarus","2010","13470",""
"Belgium","2010","38450",""
"Belize","2010","7090",""
"Benin","2010","1440",""
"Bhutan","2010","5230",""
"Bolivia (Plurinational State of)","2010","4470",""
"Bosnia and Herzegovina","2010","8850",""
"Botswana","2010","13710",""
"Brazil","2010","10890",""
"Bulgaria","2010","13700",""
"Burkina Faso","2010","1320",""
"Burundi","2010","520",""
"Cabo Verde","2010","4230",""
"Cambodia","2010","2030",""
"Cameroon","2010","2130",""
"Canada","2010","38400",""
"Central African Republic","2010","960",""
"Chad","2010","1480",""
"Chile","2010","17360",""
"China","2010","7470",""
"Colombia","2010","8910",""
"Comoros","2010","1160",""
"Congo","2010","3100",""
"Costa Rica","2010","11270",""
"Côte d’Ivoire","2010","1850",""
"Croatia","2010","18070",""
"Cyprus","2010","30300",""
"Czech Republic","2010","23400",""
"Democratic Republic of the Congo","2010","340",""
"Denmark","2010","41540",""
"Dominica","2010","12070",""
"Dominican Republic","2010","8850",""
"Ecuador","2010","8330",""
"Egypt","2010","6300",""
"El Salvador","2010","6380",""
"Equatorial Guinea","2010","15600",""
"Eritrea","2010","490",""
"Estonia","2010","19040",""
"Ethiopia","2010","960",""
"Fiji","2010","4440",""
"Finland","2010","36550",""
"France","2010","34970",""
"Gabon","2010","12460",""
"Gambia","2010","1880",""
"Georgia","2010","4910",""
"Germany","2010","38450",""
"Ghana","2010","1610",""
"Greece","2010","26770",""
"Grenada","2010","9880",""
"Guatemala","2010","4600",""
"Guinea","2010","900",""
"Guinea-Bissau","2010","1140",""
"Guyana","2010","2970",""
"Haiti","2010","1110",""
"Honduras","2010","3730",""
"Hungary","2010","19720",""
"Iceland","2010","29270",""
"India","2010","3400",""
"Indonesia","2010","4140",""
"Iraq","2010","3640",""
"Ireland","2010","34830",""
"Israel","2010","26270",""
"Italy","2010","31930",""
"Japan","2010","34570",""
"Jordan","2010","5750",""
"Kazakhstan","2010","10440",""
"Kenya","2010","1610",""
"Kiribati","2010","3470",""
"Kuwait","2010","47770",""
"Kyrgyzstan","2010","2070",""
"Lao People's Democratic Republic","2010","2310",""
"Latvia","2010","16830",""
"Lebanon","2010","13340",""
"Lesotho","2010","2100",""
"Liberia","2010","470",""
"Lithuania","2010","18350",""
"Luxembourg","2010","57690",""
"Madagascar","2010","930",""
"Malawi","2010","710",""
"Malaysia","2010","14680",""
"Maldives","2010","6900",""
"Mali","2010","1150",""
"Malta","2010","24390",""
"Mauritania","2010","2280",""
"Mauritius","2010","13670",""
"Mexico","2010","14600",""
"Micronesia (Federated States of)","2010","3630",""
"Mongolia","2010","3680",""
"Montenegro","2010","12820",""
"Morocco","2010","4580",""
"Mozambique","2010","880",""
"Namibia","2010","6400",""
"Nepal","2010","1340",""
"Netherlands","2010","40900",""
"New Zealand","2010","29020",""
"Nicaragua","2010","3480",""
"Niger","2010","700",""
"Nigeria","2010","2180",""
"Norway","2010","58130",""
"Oman","2010","25320",""
"Pakistan","2010","2650",""
"Palau","2010","14640",""
"Panama","2010","13930",""
"Papua New Guinea","2010","2380",""
"Paraguay","2010","5430",""
"Peru","2010","8690",""
"Philippines","2010","3920",""
"Poland","2010","19220",""
"Portugal","2010","24670",""
"Qatar","2010","77640",""
"Republic of Korea","2010","28650",""
"Republic of Moldova","2010","3330",""
"Romania","2010","15260",""
"Russian Federation","2010","20110",""
"Rwanda","2010","1150",""
"Saint Kitts and Nevis","2010","15630",""
"Saint Lucia","2010","10680",""
"Saint Vincent and the Grenadines","2010","10130",""
"Samoa","2010","4080",""
"Sao Tome and Principe","2010","1700",""
"Saudi Arabia","2010","27720",""
"Senegal","2010","1830",""
"Serbia","2010","10830",""
"Seychelles","2010","21600",""
"Sierra Leone","2010","1080",""
"Singapore","2010","57280",""
"Slovakia","2010","21770",""
"Slovenia","2010","26120",""
"Solomon Islands","2010","2230",""
"South Africa","2010","10260",""
"Spain","2010","31070",""
"Sri Lanka","2010","5000",""
"Sudan","2010","1800",""
"Suriname","2010","7760",""
"Swaziland","2010","4880",""
"Sweden","2010","40130",""
"Switzerland","2010","51760",""
"Syrian Arab Republic","2010","4800",""
"Tajikistan","2010","1890",""
"Thailand","2010","8410",""
"The former Yugoslav Republic of Macedonia","2010","11220",""
"Timor-Leste","2010","5310",""
"Togo","2010","830",""
"Tonga","2010","4620",""
"Trinidad and Tobago","2010","24440",""
"Tunisia","2010","8870",""
"Turkey","2010","15810",""
"Turkmenistan","2010","7390",""
"Uganda","2010","1140",""
"Ukraine","2010","6540",""
"United Arab Emirates","2010","41550",""
"United Kingdom","2010","36020",""
"United Republic of Tanzania","2010","1400",""
"United States of America","2010","48880",""
"Uruguay","2010","13290",""
"Uzbekistan","2010","3120",""
"Vanuatu","2010","4270",""
"Venezuela (Bolivarian Republic of)","2010","11790",""
"Viet Nam","2010","3210",""
"Yemen","2010","2590",""
"Zambia","2010","1380",""

