"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Albania","2010","Female","Not applicable","Percent","52.38337"
"Albania","2010","Male","Not applicable","Percent","37.49551"
"Albania","2010","All genders","Not applicable","Percent","44.54065"
"Algeria","2010","All genders","Not applicable","Percent","29.83456"
"Algeria","2010","Female","Not applicable","Percent","35.33614"
"Algeria","2010","Male","Not applicable","Percent","24.50077"
"Antigua and Barbuda","2010","Female","Not applicable","Percent","22.6758"
"Antigua and Barbuda","2010","Male","Not applicable","Percent","9.05893"
"Antigua and Barbuda","2010","All genders","Not applicable","Percent","16.23196"
"Argentina","2010","Male","Not applicable","Percent","59.13731"
"Argentina","2010","Female","Not applicable","Percent","89.15845"
"Argentina","2010","All genders","Not applicable","Percent","73.9392"
"Armenia","2010","All genders","Not applicable","Percent","50.6443"
"Armenia","2010","Female","Not applicable","Percent","63.13266"
"Armenia","2010","Male","Not applicable","Percent","40.26565"
"Aruba","2010","Male","Not applicable","Percent","31.11735"
"Aruba","2010","Female","Not applicable","Percent","43.94988"
"Aruba","2010","All genders","Not applicable","Percent","37.3577"
"Australia","2010","All genders","Not applicable","Percent","80.91708"
"Australia","2010","Female","Not applicable","Percent","94.4554"
"Australia","2010","Male","Not applicable","Percent","68.3969"
"Austria","2010","Female","Not applicable","Percent","74.21418"
"Austria","2010","Male","Not applicable","Percent","63.4299"
"Austria","2010","All genders","Not applicable","Percent","68.73218"
"Azerbaijan","2010","Male","Not applicable","Percent","19.36225"
"Azerbaijan","2010","Female","Not applicable","Percent","19.15638"
"Azerbaijan","2010","All genders","Not applicable","Percent","19.26004"
"Barbados","2010","Female","Not applicable","Percent","95.85448"
"Barbados","2010","All genders","Not applicable","Percent","69.81481"
"Barbados","2010","Male","Not applicable","Percent","43.88754"
"Belarus","2010","Male","Not applicable","Percent","65.24285"
"Belarus","2010","Female","Not applicable","Percent","94.43531"
"Belarus","2010","All genders","Not applicable","Percent","79.42101"
"Belgium","2010","All genders","Not applicable","Percent","67.71092"
"Belgium","2010","Female","Not applicable","Percent","75.79072"
"Belgium","2010","Male","Not applicable","Percent","59.85267"
"Belize","2010","Male","Not applicable","Percent","16.8359"
"Belize","2010","Female","Not applicable","Percent","26.86975"
"Belize","2010","All genders","Not applicable","Percent","21.87334"
"Benin","2010","All genders","Not applicable","Percent","13.25991"
"Benin","2010","Female","Not applicable","Percent","6.88722"
"Benin","2010","Male","Not applicable","Percent","19.63472"
"Bermuda","2010","Female","Not applicable","Percent","40.60865"
"Bermuda","2010","All genders","Not applicable","Percent","29.81673"
"Bermuda","2010","Male","Not applicable","Percent","19.27543"
"Bhutan","2010","Male","Not applicable","Percent","8.63803"
"Bhutan","2010","Female","Not applicable","Percent","5.28042"
"Bhutan","2010","All genders","Not applicable","Percent","7.00768"
"Bosnia and Herzegovina","2010","Male","Not applicable","Percent","31.52919"
"Bosnia and Herzegovina","2010","Female","Not applicable","Percent","42.45824"
"Bosnia and Herzegovina","2010","All genders","Not applicable","Percent","36.83292"
"Botswana","2010","All genders","Not applicable","Percent","19.1717"
"Brunei Darussalam","2010","Female","Not applicable","Percent","20.63689"
"Brunei Darussalam","2010","All genders","Not applicable","Percent","15.65481"
"Brunei Darussalam","2010","Male","Not applicable","Percent","11.05551"
"Bulgaria","2010","All genders","Not applicable","Percent","58.011"
"Bulgaria","2010","Female","Not applicable","Percent","66.38689"
