Fechas,Lerma,Bravo,Balsas
2019-04-22,31.997984,33.98016,41.342528
2019-04-23,21.4358176,29.73264,38.510848
2019-04-24,17.3015648,27.3823456,39.077184
2019-04-25,14.7530528,26.3912576,34.263328
2019-04-26,15.3477056,39.360352,60.597952
2019-04-27,14.8946368,41.908864,55.784096
2019-04-28,11.893056,34.829664,41.05936
2019-04-29,10.052464,29.73264,31.997984
2019-04-30,8.9481088,26.334624,26.90096
2019-05-01,8.070288,24.2391808,22.6251232
2019-05-02,7.2774176,22.9649248,22.2570048
2019-05-03,6.5411808,22.4552224,23.2764096
2019-05-04,6.0597952,22.1720544,19.7934432
2019-05-05,7.4473184,28.3168,40.209856
2019-05-06,8.919792,31.714816,32.281152
2019-05-07,6.8243488,28.599968,24.918784
2019-05-08,5.521776,25.0037344,21.2942336
2019-05-09,4.8704896,22.511856,18.547504
2019-05-10,14.4982016,21.9172032,17.3865152
2019-05-11,11.2984032,24.210864,17.556416
2019-05-12,24.7205664,38.22768,26.476208
2019-05-13,58.898944,52.102912,44.457376
2019-05-14,28.2035328,45.590048,37.661344
2019-05-15,13.875232,35.396,32.56432
2019-05-16,10.4205824,28.175216,27.60888
2019-05-17,8.919792,23.8427456,22.9649248
2019-05-18,8.6932576,21.2659168,17.981168
2019-05-19,7.0792,19.7651264,15.149488
2019-05-20,5.66336,18.7740384,15.007904
2019-05-21,4.7572224,17.8679008,13.733648
2019-05-22,4.2192032,16.565328,11.893056
2019-05-23,3.8794016,15.6308736,10.8453344
2019-05-24,3.5962336,14.7530528,9.9958304
2019-05-25,3.3413824,14.016816,9.1746432
2019-05-26,3.0865312,13.5637472,8.5799904
2019-05-27,2.8599968,13.1389952,8.070288
2019-05-28,2.63912576,12.74256,7.5889024
2019-05-29,2.4352448,12.2611744,7.220784
2019-05-30,2.23985888,12.0629568,6.8243488
2019-05-31,2.03314624,11.893056,6.654448
2019-06-01,1.86041376,11.5815712,6.37128
2019-06-02,1.69617632,11.1568192,6.0597952
2019-06-03,1.5291072,10.7320672,5.8615776
2019-06-04,1.3592064,10.3922656,5.4368256
2019-06-05,1.22611744,10.0807808,5.097024
2019-06-06,1.58290912,11.1001856,5.66336
2019-06-07,2.16340352,13.9035488,6.8243488
2019-06-08,40.493024,15.2344384,8.2401888
2019-06-09,42.192032,14.583152,9.769296
2019-06-10,17.698,24.352448,12.9124608
2019-06-11,13.6770144,25.1453184,21.2376
2019-06-12,8.2401888,24.7488832,36.245504
2019-06-13,7.5605856,21.379184,30.298976
2019-06-14,5.238608,16.706912,20.812848
2019-06-15,3.6245504,14.1017664,14.0734496
2019-06-16,2.9166304,12.8275104,10.9869184
2019-06-17,2.55417536,12.2328576,9.1463264
2019-06-18,3.681184,12.4310752,10.901968
2019-06-19,15.3760224,20.4164128,13.9035488
2019-06-20,8.3251392,18.830672,14.016816
2019-06-21,6.5694976,19.4819584,13.9884992
2019-06-22,4.9271232,19.2837408,12.74256
2019-06-23,4.0776192,17.3298816,15.007904
2019-06-24,3.3130656,15.291072,13.2522624
2019-06-25,2.7325712,13.5354304,10.052464
2019-06-26,2.41542304,12.459392,8.4384064
2019-06-27,2.18322528,11.468304,7.4473184
2019-06-28,1.98500768,10.760384,7.220784
2019-06-29,1.7273248,15.857408,6.8526656
2019-06-30,1.63387936,21.6057184,8.6083072
2019-07-01,1.90855232,14.583152,7.4756352
2019-07-02,1.982176,12.5160256,6.2863296
2019-07-03,1.60556256,11.5532544,5.8898944
2019-07-04,1.55176064,13.3655296,5.7766272
2019-07-05,1.72449312,13.5637472,5.6067264
2019-07-06,1.6423744,14.3849344,5.2952416
2019-07-07,1.82360192,13.5637472,5.0120736
2019-07-08,1.97934432,13.5071136,5.0403904
2019-07-09,2.01898784,16.1688928,4.8988064
2019-07-10,3.0298976,35.962336,6.5978144
2019-07-11,2.973264,21.803936,8.4100896
2019-07-12,2.14358176,20.6146304,7.4190016
2019-07-13,1.87457216,23.36136,7.8720704
2019-07-14,1.83209696,25.5700704,7.2774176
2019-07-15,2.18888864,19.4536416,8.2968224
2019-07-16,1.97084928,16.9051296,7.9853376
2019-07-17,1.63671104,15.3193888,6.8809824
2019-07-18,1.44698848,14.1584,6.4279136
2019-07-19,1.87740384,18.9439392,6.1730624
2019-07-20,2.3078192,21.379184,6.2863296
2019-07-21,2.7042544,20.7845312,7.928704
2019-07-22,2.0954432,19.538592,14.1300832
2019-07-23,1.81793856,17.698,11.2134528
2019-07-24,1.58007744,26.617792,11.8647392
2019-07-25,1.34221632,25.0037344,15.6308736
2019-07-26,1.20063232,21.3508672,13.025728
2019-07-27,1.05904832,18.3492864,9.7409792
2019-07-28,0.97126624,15.7724576,7.7304864
2019-07-29,0.9344544,13.7053312,6.654448
2019-07-30,0.89764256,12.4027584,5.7199936
2019-07-31,0.85516736,11.6382048,5.097024
2019-08-01,0.87498912,11.1001856,5.2952416
2019-08-02,0.88914752,13.0823616,8.1835552
2019-08-03,1.12417696,22.65344,10.2506816
2019-08-04,1.40451328,32.56432,8.8065248
2019-08-05,1.5857408,27.5522464,11.0718688
2019-08-06,1.8972256,22.4269056,12.2611744
2019-08-07,1.4016816,20.0766112,10.1090976
2019-08-08,1.53760224,18.2077024,8.6932576
2019-08-09,1.65936448,22.3419552,8.7215744
2019-08-10,1.26859264,16.6502784,8.8914752
2019-08-11,1.08170176,13.8469152,7.5322688
2019-08-12,1.0194048,12.3744416,6.9659328
2019-08-13,0.92879104,12.7708768,7.503952
2019-08-14,0.91180096,12.2611744,7.9003872
2019-08-15,0.98259296,13.167312,8.2685056
2019-08-16,1.0194048,12.0912736,9.4011776
2019-08-17,0.88348416,12.4877088,10.477216
2019-08-18,0.7928704,11.8647392,8.3817728
2019-08-19,0.78154368,11.2134528,7.2491008
